Day_of_Week,Age_of_Driver,Sex,Educational_Level,Vehicle_Driver,Driving_Experience,Speed_Limit,Weather,Road_Light_Conditions,Road_Surface_Conditions,Cause_of_Accident,Accident_Severity
Thursday,26,Male,Illiterate,Bus,2,60,Clear,Twilight,Snow,Mechanical Failure,Serious Injury
Tuesday,23,Female,Primary,Automobile,19,40,Clear,Daylight,Dry,Distracted,Slight Injury
Saturday,26,Male,Tertiary,Bus,5,80,Clear,Twilight,Ice,Overspeed,Serious Injury
Sunday,56,Male,Tertiary,Motorcycle,6,40,Clear,Twilight,Dry,Weather,Slight Injury
Thursday,48,Male,Illiterate,Bus,0,40,Rain,Daylight,Wet,Drunk Driving,Fatal Injury
Sunday,49,Female,Illiterate,Taxi,22,60,Clear,Daylight,Ice,Fatigue,Slight Injury
Wednesday,58,Male,Tertiary,Taxi,0,70,Cloudy,Daylight,Ice,Overspeed,Fatal Injury
Wednesday,67,Female,Primary,Motorcycle,4,100,Clear,Daylight,Ice,Overspeed,Serious Injury
Monday,29,Female,Tertiary,Lorry,5,50,Fog,Daylight,Dry,Weather,Slight Injury
Sunday,25,Male,Illiterate,Taxi,12,30,Cloudy,Daylight,Dry,Fatigue,Slight Injury
Saturday,25,Male,Illiterate,Automobile,1,50,Fog,Night,Wet,Drunk Driving,Fatal Injury
Friday,67,Male,Tertiary,Motorcycle,14,70,Fog,Night,Snow,Overspeed,Fatal Injury
Thursday,45,Male,Primary,Bus,14,50,Rain,Night,Snow,Mechanical Failure,Slight Injury
Tuesday,37,Female,Tertiary,Bus,12,80,Rain,Night,Dry,Mechanical Failure,Serious Injury
Saturday,64,Male,Tertiary,Automobile,25,80,Fog,Twilight,Ice,Fatigue,Serious Injury
Saturday,24,Male,Illiterate,Taxi,24,60,Fog,Daylight,Snow,Drunk Driving,Serious Injury
Wednesday,28,Male,Primary,Motorcycle,13,40,Clear,Twilight,Snow,Fatigue,Slight Injury
Sunday,37,Female,Secondary,Automobile,25,70,Cloudy,Daylight,Dry,Overspeed,Serious Injury
Monday,33,Male,Primary,Taxi,21,70,Clear,Daylight,Wet,Mechanical Failure,Serious Injury
Monday,21,Male,Tertiary,Motorcycle,6,50,Rain,Twilight,Dry,Distracted,Slight Injury
Thursday,23,Female,Tertiary,Bus,13,60,Rain,Night,Dry,Fatigue,Slight Injury
Wednesday,39,Female,Tertiary,Motorcycle,25,50,Clear,Twilight,Ice,Distracted,Slight Injury
Saturday,43,Male,Primary,Lorry,23,50,Cloudy,Twilight,Dry,Distracted,Slight Injury
Friday,20,Male,Illiterate,Motorcycle,26,70,Fog,Daylight,Ice,Weather,Serious Injury
Wednesday,58,Male,Tertiary,Lorry,28,50,Clear,Daylight,Wet,Mechanical Failure,Slight Injury
Thursday,59,Male,Tertiary,Motorcycle,9,40,Rain,Daylight,Ice,Fatigue,Slight Injury
Thursday,31,Male,Primary,Lorry,16,50,Cloudy,Night,Wet,Distracted,Slight Injury
Wednesday,28,Female,Secondary,Bus,13,40,Rain,Twilight,Wet,Overspeed,Serious Injury
Thursday,35,Female,Secondary,Taxi,7,70,Cloudy,Twilight,Wet,Weather,Serious Injury
Wednesday,29,Male,Illiterate,Lorry,3,60,Cloudy,Night,Dry,Drunk Driving,Slight Injury
Tuesday,40,Male,Illiterate,Lorry,25,80,Cloudy,Twilight,Ice,Weather,Serious Injury
Wednesday,29,Female,Tertiary,Bus,15,40,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Sunday,30,Male,Primary,Lorry,23,60,Clear,Daylight,Dry,Mechanical Failure,Slight Injury
Wednesday,42,Male,Tertiary,Automobile,12,60,Clear,Night,Wet,Fatigue,Slight Injury
Thursday,62,Male,Illiterate,Bus,21,40,Cloudy,Daylight,Snow,Fatigue,Slight Injury
Sunday,68,Male,Primary,Automobile,26,70,Cloudy,Night,Dry,Drunk Driving,Serious Injury
Thursday,36,Male,Primary,Bus,24,30,Rain,Daylight,Snow,Overspeed,Serious Injury
Monday,63,Female,Illiterate,Lorry,26,60,Fog,Twilight,Wet,Drunk Driving,Serious Injury
Monday,53,Male,Secondary,Automobile,19,60,Clear,Night,Snow,Drunk Driving,Serious Injury
Sunday,62,Male,Secondary,Lorry,17,70,Cloudy,Night,Snow,Fatigue,Serious Injury
Tuesday,25,Male,Primary,Bus,13,70,Rain,Daylight,Wet,Distracted,Serious Injury
Monday,46,Female,Tertiary,Lorry,17,50,Rain,Night,Snow,Overspeed,Serious Injury
Wednesday,49,Female,Secondary,Automobile,4,70,Rain,Twilight,Dry,Fatigue,Serious Injury
Thursday,68,Female,Tertiary,Automobile,25,60,Clear,Twilight,Snow,Weather,Slight Injury
Monday,61,Female,Secondary,Lorry,8,40,Clear,Twilight,Ice,Drunk Driving,Serious Injury
Monday,35,Male,Secondary,Motorcycle,27,30,Fog,Daylight,Dry,Distracted,Slight Injury
Tuesday,23,Female,Tertiary,Bus,2,100,Rain,Night,Snow,Overspeed,Fatal Injury
Sunday,35,Male,Illiterate,Bus,7,50,Clear,Daylight,Ice,Mechanical Failure,Slight Injury
Sunday,36,Male,Secondary,Lorry,19,100,Rain,Twilight,Ice,Overspeed,Fatal Injury
Saturday,39,Female,Secondary,Motorcycle,21,40,Cloudy,Night,Ice,Overspeed,Serious Injury
Tuesday,54,Female,Tertiary,Automobile,9,30,Rain,Twilight,Snow,Drunk Driving,Serious Injury
Wednesday,49,Female,Illiterate,Taxi,21,30,Fog,Night,Wet,Drunk Driving,Serious Injury
Sunday,58,Female,Secondary,Taxi,18,30,Clear,Night,Ice,Mechanical Failure,Slight Injury
Thursday,20,Female,Secondary,Lorry,29,80,Cloudy,Daylight,Wet,Mechanical Failure,Serious Injury
Tuesday,45,Male,Illiterate,Motorcycle,20,40,Clear,Night,Dry,Mechanical Failure,Slight Injury
Monday,27,Female,Secondary,Motorcycle,27,50,Cloudy,Twilight,Wet,Fatigue,Slight Injury
Thursday,68,Female,Illiterate,Bus,2,50,Rain,Night,Wet,Fatigue,Serious Injury
Thursday,52,Female,Illiterate,Automobile,10,30,Rain,Twilight,Wet,Drunk Driving,Serious Injury
Monday,46,Male,Tertiary,Motorcycle,10,40,Fog,Daylight,Wet,Drunk Driving,Serious Injury
Tuesday,32,Female,Primary,Taxi,16,80,Fog,Twilight,Wet,Mechanical Failure,Serious Injury
Monday,50,Male,Illiterate,Automobile,15,30,Cloudy,Night,Dry,Fatigue,Slight Injury
Saturday,24,Female,Tertiary,Automobile,6,70,Fog,Twilight,Dry,Distracted,Serious Injury
Thursday,29,Female,Primary,Lorry,3,100,Fog,Twilight,Wet,Fatigue,Serious Injury
Friday,66,Male,Secondary,Motorcycle,29,50,Fog,Night,Wet,Drunk Driving,Serious Injury
Friday,47,Female,Primary,Lorry,22,100,Fog,Twilight,Ice,Fatigue,Serious Injury
Wednesday,38,Male,Illiterate,Motorcycle,18,60,Rain,Night,Dry,Drunk Driving,Serious Injury
Sunday,48,Male,Illiterate,Bus,11,30,Fog,Daylight,Snow,Mechanical Failure,Slight Injury
Monday,41,Male,Illiterate,Lorry,14,70,Rain,Twilight,Dry,Mechanical Failure,Serious Injury
Monday,37,Female,Illiterate,Lorry,10,50,Rain,Daylight,Snow,Mechanical Failure,Slight Injury
Wednesday,54,Female,Illiterate,Taxi,4,100,Clear,Twilight,Ice,Distracted,Serious Injury
Wednesday,21,Female,Tertiary,Lorry,4,80,Rain,Twilight,Wet,Distracted,Serious Injury
Wednesday,45,Male,Illiterate,Motorcycle,14,40,Rain,Daylight,Ice,Drunk Driving,Serious Injury
Thursday,61,Female,Tertiary,Taxi,28,50,Fog,Twilight,Wet,Overspeed,Serious Injury
Saturday,37,Male,Secondary,Lorry,17,100,Rain,Twilight,Dry,Weather,Serious Injury
Monday,41,Female,Illiterate,Lorry,10,40,Cloudy,Daylight,Wet,Distracted,Slight Injury
Thursday,67,Male,Illiterate,Bus,25,100,Fog,Twilight,Snow,Drunk Driving,Fatal Injury
Wednesday,66,Male,Primary,Lorry,11,40,Fog,Night,Snow,Fatigue,Slight Injury
Monday,68,Male,Secondary,Automobile,1,80,Fog,Twilight,Ice,Mechanical Failure,Fatal Injury
Thursday,49,Female,Illiterate,Taxi,19,80,Clear,Twilight,Dry,Mechanical Failure,Slight Injury
Saturday,58,Male,Illiterate,Automobile,14,30,Fog,Twilight,Snow,Mechanical Failure,Slight Injury
Thursday,53,Male,Secondary,Taxi,19,30,Rain,Daylight,Ice,Drunk Driving,Serious Injury
Saturday,51,Male,Tertiary,Bus,3,50,Cloudy,Night,Dry,Mechanical Failure,Slight Injury
Wednesday,53,Male,Illiterate,Lorry,21,80,Fog,Night,Dry,Distracted,Serious Injury
Saturday,19,Male,Primary,Lorry,17,70,Fog,Twilight,Ice,Fatigue,Serious Injury
Monday,32,Male,Illiterate,Lorry,5,100,Cloudy,Daylight,Snow,Mechanical Failure,Serious Injury
Wednesday,51,Female,Primary,Taxi,22,100,Fog,Daylight,Snow,Drunk Driving,Fatal Injury
Monday,53,Female,Primary,Lorry,26,100,Clear,Night,Ice,Fatigue,Serious Injury
Friday,23,Male,Illiterate,Automobile,25,50,Rain,Daylight,Snow,Mechanical Failure,Serious Injury
Tuesday,56,Female,Illiterate,Lorry,18,100,Cloudy,Twilight,Ice,Overspeed,Serious Injury
Saturday,59,Female,Primary,Bus,10,60,Cloudy,Twilight,Snow,Mechanical Failure,Slight Injury
Tuesday,68,Male,Secondary,Automobile,27,40,Clear,Daylight,Snow,Weather,Slight Injury
Tuesday,68,Male,Secondary,Lorry,23,100,Rain,Twilight,Ice,Distracted,Serious Injury
Saturday,29,Male,Illiterate,Lorry,1,40,Clear,Night,Ice,Fatigue,Serious Injury
Wednesday,20,Female,Tertiary,Motorcycle,26,30,Rain,Twilight,Snow,Distracted,Serious Injury
Friday,62,Male,Secondary,Taxi,7,100,Clear,Daylight,Ice,Overspeed,Serious Injury
Monday,35,Female,Illiterate,Automobile,28,70,Fog,Night,Snow,Overspeed,Fatal Injury
Thursday,57,Male,Secondary,Motorcycle,10,80,Clear,Twilight,Wet,Weather,Serious Injury
Monday,38,Female,Tertiary,Bus,4,80,Cloudy,Night,Dry,Distracted,Slight Injury
Thursday,32,Male,Illiterate,Taxi,17,30,Cloudy,Daylight,Dry,Fatigue,Slight Injury
Monday,50,Male,Tertiary,Automobile,22,60,Cloudy,Twilight,Snow,Overspeed,Serious Injury
Saturday,52,Female,Illiterate,Lorry,29,50,Clear,Twilight,Dry,Overspeed,Slight Injury
Friday,43,Female,Tertiary,Automobile,17,50,Cloudy,Night,Snow,Mechanical Failure,Slight Injury
Thursday,25,Female,Secondary,Lorry,13,70,Cloudy,Twilight,Ice,Weather,Serious Injury
Sunday,53,Female,Secondary,Taxi,21,30,Fog,Twilight,Wet,Drunk Driving,Serious Injury
Wednesday,65,Female,Tertiary,Lorry,9,30,Fog,Twilight,Dry,Overspeed,Serious Injury
Monday,47,Female,Tertiary,Bus,2,60,Rain,Twilight,Dry,Fatigue,Serious Injury
Monday,40,Male,Tertiary,Lorry,8,100,Rain,Daylight,Ice,Fatigue,Serious Injury
Thursday,59,Female,Illiterate,Bus,2,50,Rain,Twilight,Wet,Mechanical Failure,Serious Injury
Wednesday,61,Male,Secondary,Taxi,10,100,Clear,Night,Wet,Fatigue,Serious Injury
Wednesday,31,Male,Illiterate,Taxi,11,30,Rain,Daylight,Wet,Mechanical Failure,Slight Injury
Saturday,31,Female,Secondary,Automobile,11,100,Clear,Night,Ice,Overspeed,Serious Injury
Sunday,19,Male,Primary,Bus,2,80,Clear,Night,Dry,Overspeed,Fatal Injury
Saturday,54,Female,Illiterate,Bus,20,70,Rain,Night,Dry,Overspeed,Serious Injury
Saturday,22,Female,Secondary,Motorcycle,6,50,Rain,Daylight,Wet,Overspeed,Serious Injury
Saturday,55,Male,Secondary,Motorcycle,13,60,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Saturday,62,Male,Illiterate,Motorcycle,23,70,Fog,Daylight,Ice,Weather,Serious Injury
Saturday,58,Female,Illiterate,Lorry,27,40,Cloudy,Twilight,Ice,Weather,Slight Injury
Friday,64,Female,Secondary,Motorcycle,10,80,Cloudy,Night,Wet,Drunk Driving,Serious Injury
Wednesday,31,Male,Illiterate,Bus,6,60,Cloudy,Daylight,Ice,Overspeed,Serious Injury
Saturday,56,Male,Tertiary,Lorry,24,70,Fog,Night,Wet,Fatigue,Serious Injury
Wednesday,42,Male,Illiterate,Taxi,20,30,Clear,Daylight,Wet,Mechanical Failure,Slight Injury
Wednesday,37,Male,Illiterate,Automobile,9,40,Rain,Daylight,Wet,Weather,Slight Injury
Tuesday,19,Female,Illiterate,Motorcycle,10,60,Clear,Daylight,Snow,Distracted,Slight Injury
Friday,56,Female,Secondary,Taxi,14,30,Clear,Night,Wet,Mechanical Failure,Slight Injury
Saturday,23,Female,Tertiary,Bus,18,80,Rain,Twilight,Ice,Distracted,Serious Injury
Monday,34,Female,Primary,Automobile,15,40,Fog,Daylight,Snow,Distracted,Slight Injury
Thursday,42,Male,Primary,Taxi,21,50,Cloudy,Daylight,Dry,Overspeed,Slight Injury
Sunday,45,Male,Tertiary,Automobile,20,30,Cloudy,Daylight,Dry,Distracted,Slight Injury
Monday,19,Female,Tertiary,Motorcycle,27,70,Clear,Twilight,Ice,Overspeed,Fatal Injury
Friday,52,Female,Tertiary,Bus,19,100,Fog,Night,Ice,Drunk Driving,Fatal Injury
Thursday,54,Female,Secondary,Automobile,11,60,Cloudy,Night,Ice,Fatigue,Slight Injury
Friday,22,Female,Primary,Taxi,17,40,Fog,Night,Ice,Distracted,Serious Injury
Wednesday,18,Female,Tertiary,Motorcycle,22,30,Rain,Night,Snow,Fatigue,Serious Injury
Thursday,57,Female,Secondary,Motorcycle,12,50,Clear,Daylight,Ice,Overspeed,Serious Injury
Wednesday,29,Female,Primary,Taxi,4,100,Clear,Twilight,Wet,Distracted,Serious Injury
Monday,53,Female,Illiterate,Taxi,3,60,Fog,Daylight,Dry,Mechanical Failure,Slight Injury
Monday,62,Female,Secondary,Automobile,27,60,Cloudy,Twilight,Ice,Drunk Driving,Serious Injury
Thursday,40,Male,Primary,Lorry,13,30,Fog,Night,Wet,Weather,Slight Injury
Thursday,64,Female,Secondary,Motorcycle,7,50,Rain,Twilight,Ice,Drunk Driving,Serious Injury
Saturday,48,Male,Primary,Automobile,8,80,Cloudy,Daylight,Wet,Distracted,Serious Injury
Friday,28,Male,Primary,Taxi,24,100,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Saturday,27,Female,Illiterate,Automobile,18,80,Fog,Night,Dry,Weather,Serious Injury
Friday,20,Female,Secondary,Taxi,2,40,Rain,Daylight,Dry,Mechanical Failure,Serious Injury
Saturday,31,Male,Tertiary,Bus,4,30,Cloudy,Daylight,Snow,Fatigue,Slight Injury
Wednesday,33,Male,Illiterate,Taxi,20,100,Clear,Twilight,Wet,Mechanical Failure,Serious Injury
Thursday,27,Female,Illiterate,Taxi,25,40,Rain,Daylight,Ice,Drunk Driving,Serious Injury
Monday,46,Male,Primary,Taxi,17,80,Cloudy,Night,Wet,Weather,Serious Injury
Friday,27,Female,Tertiary,Lorry,0,100,Fog,Night,Dry,Fatigue,Serious Injury
Friday,29,Female,Secondary,Taxi,7,60,Cloudy,Daylight,Snow,Weather,Slight Injury
Monday,47,Female,Tertiary,Motorcycle,18,40,Clear,Night,Snow,Mechanical Failure,Slight Injury
Saturday,58,Male,Tertiary,Motorcycle,16,50,Rain,Twilight,Wet,Overspeed,Serious Injury
Friday,18,Male,Tertiary,Automobile,16,70,Cloudy,Twilight,Wet,Overspeed,Fatal Injury
Sunday,22,Female,Tertiary,Lorry,10,80,Clear,Daylight,Snow,Fatigue,Serious Injury
Wednesday,37,Male,Tertiary,Automobile,1,80,Cloudy,Daylight,Dry,Fatigue,Serious Injury
Thursday,25,Male,Primary,Motorcycle,5,50,Cloudy,Twilight,Ice,Fatigue,Slight Injury
Monday,60,Male,Primary,Motorcycle,21,100,Rain,Night,Ice,Overspeed,Fatal Injury
Thursday,29,Male,Illiterate,Bus,13,100,Fog,Daylight,Wet,Mechanical Failure,Serious Injury
Sunday,18,Male,Primary,Taxi,2,100,Fog,Daylight,Snow,Fatigue,Fatal Injury
Friday,37,Male,Illiterate,Motorcycle,11,40,Clear,Night,Snow,Overspeed,Serious Injury
Friday,45,Male,Illiterate,Automobile,3,30,Clear,Daylight,Snow,Fatigue,Slight Injury
Sunday,60,Female,Secondary,Automobile,11,60,Clear,Night,Dry,Fatigue,Slight Injury
Monday,54,Male,Tertiary,Taxi,12,70,Rain,Night,Wet,Weather,Serious Injury
Wednesday,64,Male,Primary,Taxi,1,30,Fog,Night,Wet,Fatigue,Serious Injury
Tuesday,54,Male,Secondary,Bus,1,30,Clear,Night,Wet,Overspeed,Serious Injury
Monday,29,Male,Primary,Lorry,14,50,Clear,Night,Dry,Mechanical Failure,Slight Injury
Tuesday,54,Male,Illiterate,Automobile,22,40,Cloudy,Twilight,Wet,Overspeed,Serious Injury
Sunday,66,Male,Primary,Taxi,28,80,Cloudy,Night,Ice,Overspeed,Serious Injury
Saturday,66,Male,Tertiary,Automobile,16,80,Clear,Twilight,Wet,Fatigue,Serious Injury
Tuesday,61,Male,Illiterate,Taxi,6,50,Cloudy,Night,Wet,Weather,Slight Injury
Wednesday,45,Female,Illiterate,Motorcycle,29,40,Cloudy,Daylight,Wet,Distracted,Slight Injury
Saturday,64,Male,Secondary,Automobile,27,50,Cloudy,Twilight,Dry,Distracted,Slight Injury
Tuesday,32,Male,Tertiary,Motorcycle,13,80,Rain,Daylight,Ice,Distracted,Serious Injury
Sunday,23,Male,Illiterate,Automobile,11,30,Clear,Night,Ice,Overspeed,Serious Injury
Saturday,61,Male,Tertiary,Lorry,29,60,Clear,Night,Snow,Fatigue,Slight Injury
Sunday,37,Female,Primary,Bus,16,100,Cloudy,Daylight,Snow,Distracted,Serious Injury
Tuesday,67,Female,Tertiary,Motorcycle,13,40,Rain,Night,Ice,Drunk Driving,Serious Injury
Sunday,31,Female,Illiterate,Taxi,5,70,Cloudy,Daylight,Wet,Drunk Driving,Serious Injury
Wednesday,19,Female,Secondary,Lorry,18,70,Rain,Night,Wet,Drunk Driving,Fatal Injury
Tuesday,26,Female,Illiterate,Automobile,23,30,Clear,Night,Wet,Mechanical Failure,Slight Injury
Tuesday,54,Female,Tertiary,Motorcycle,5,50,Cloudy,Twilight,Dry,Fatigue,Slight Injury
Tuesday,37,Female,Tertiary,Automobile,26,50,Clear,Daylight,Wet,Overspeed,Serious Injury
Monday,43,Female,Illiterate,Automobile,17,80,Rain,Night,Dry,Overspeed,Serious Injury
Monday,46,Female,Tertiary,Automobile,23,30,Fog,Daylight,Ice,Fatigue,Slight Injury
Monday,18,Female,Primary,Bus,4,80,Rain,Twilight,Wet,Weather,Serious Injury
Wednesday,52,Female,Illiterate,Bus,23,80,Fog,Daylight,Wet,Weather,Serious Injury
Saturday,23,Female,Secondary,Taxi,23,70,Clear,Twilight,Snow,Mechanical Failure,Serious Injury
Sunday,54,Female,Illiterate,Motorcycle,5,80,Clear,Daylight,Ice,Fatigue,Serious Injury
Friday,22,Female,Primary,Lorry,1,100,Cloudy,Daylight,Wet,Weather,Fatal Injury
Tuesday,50,Female,Primary,Lorry,7,80,Fog,Twilight,Dry,Mechanical Failure,Serious Injury
Sunday,66,Female,Primary,Lorry,14,70,Rain,Night,Ice,Distracted,Serious Injury
Tuesday,68,Male,Primary,Automobile,14,100,Clear,Night,Snow,Distracted,Serious Injury
Wednesday,31,Female,Primary,Bus,10,50,Fog,Night,Ice,Mechanical Failure,Slight Injury
Tuesday,29,Male,Secondary,Motorcycle,21,40,Rain,Daylight,Dry,Fatigue,Slight Injury
Monday,59,Female,Tertiary,Automobile,21,60,Fog,Daylight,Snow,Distracted,Slight Injury
Friday,37,Female,Primary,Bus,23,80,Rain,Night,Dry,Fatigue,Serious Injury
Thursday,67,Male,Primary,Bus,0,100,Rain,Daylight,Ice,Weather,Fatal Injury
Tuesday,41,Female,Illiterate,Motorcycle,17,40,Rain,Daylight,Snow,Distracted,Slight Injury
Sunday,60,Male,Secondary,Motorcycle,11,70,Rain,Night,Dry,Weather,Serious Injury
Monday,51,Male,Secondary,Motorcycle,11,40,Fog,Twilight,Ice,Fatigue,Slight Injury
Thursday,42,Male,Tertiary,Automobile,24,60,Fog,Daylight,Dry,Fatigue,Slight Injury
Friday,67,Female,Secondary,Taxi,10,40,Cloudy,Daylight,Wet,Drunk Driving,Serious Injury
Thursday,46,Female,Illiterate,Motorcycle,27,100,Fog,Daylight,Ice,Mechanical Failure,Serious Injury
Monday,56,Female,Illiterate,Taxi,7,40,Fog,Daylight,Snow,Overspeed,Serious Injury
Saturday,48,Male,Tertiary,Automobile,27,40,Cloudy,Twilight,Snow,Mechanical Failure,Slight Injury
Saturday,64,Male,Illiterate,Taxi,6,40,Fog,Night,Wet,Fatigue,Slight Injury
Thursday,60,Female,Primary,Lorry,22,30,Rain,Daylight,Dry,Fatigue,Slight Injury
Wednesday,67,Female,Primary,Taxi,20,80,Clear,Night,Dry,Mechanical Failure,Slight Injury
Sunday,40,Female,Illiterate,Motorcycle,1,70,Clear,Daylight,Snow,Fatigue,Serious Injury
Sunday,61,Female,Tertiary,Automobile,10,60,Cloudy,Twilight,Dry,Weather,Slight Injury
Thursday,55,Female,Secondary,Motorcycle,21,70,Fog,Night,Ice,Distracted,Serious Injury
Tuesday,37,Male,Tertiary,Lorry,9,30,Fog,Twilight,Ice,Fatigue,Slight Injury
Tuesday,40,Male,Secondary,Motorcycle,2,30,Cloudy,Daylight,Snow,Mechanical Failure,Serious Injury
Sunday,62,Male,Illiterate,Motorcycle,19,100,Clear,Twilight,Ice,Mechanical Failure,Serious Injury
Sunday,69,Female,Illiterate,Motorcycle,28,30,Rain,Twilight,Snow,Mechanical Failure,Slight Injury
Saturday,33,Male,Primary,Bus,9,80,Fog,Daylight,Dry,Drunk Driving,Serious Injury
Wednesday,67,Male,Secondary,Lorry,27,30,Cloudy,Daylight,Dry,Weather,Slight Injury
Monday,59,Male,Tertiary,Motorcycle,26,40,Rain,Night,Dry,Weather,Slight Injury
Tuesday,25,Male,Illiterate,Motorcycle,17,70,Cloudy,Daylight,Wet,Drunk Driving,Serious Injury
Sunday,67,Male,Tertiary,Motorcycle,13,50,Cloudy,Night,Snow,Weather,Slight Injury
Saturday,38,Female,Primary,Automobile,17,60,Cloudy,Twilight,Ice,Drunk Driving,Serious Injury
Friday,18,Male,Secondary,Bus,27,30,Clear,Twilight,Dry,Weather,Slight Injury
Saturday,25,Female,Secondary,Automobile,23,70,Clear,Night,Wet,Drunk Driving,Serious Injury
Tuesday,46,Female,Illiterate,Bus,7,100,Cloudy,Daylight,Ice,Drunk Driving,Serious Injury
Tuesday,49,Female,Secondary,Motorcycle,9,30,Fog,Daylight,Ice,Weather,Slight Injury
Saturday,55,Female,Illiterate,Lorry,21,80,Rain,Twilight,Ice,Drunk Driving,Fatal Injury
Monday,22,Female,Primary,Taxi,12,30,Fog,Night,Dry,Weather,Slight Injury
Thursday,64,Male,Secondary,Taxi,20,30,Clear,Twilight,Ice,Drunk Driving,Serious Injury
Tuesday,39,Male,Illiterate,Motorcycle,7,30,Rain,Twilight,Snow,Mechanical Failure,Slight Injury
Saturday,64,Female,Tertiary,Automobile,3,100,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Sunday,51,Female,Illiterate,Lorry,26,30,Fog,Night,Ice,Weather,Slight Injury
Saturday,18,Female,Secondary,Bus,3,60,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Wednesday,43,Male,Primary,Motorcycle,4,70,Cloudy,Daylight,Snow,Mechanical Failure,Serious Injury
Thursday,60,Female,Secondary,Lorry,0,80,Fog,Twilight,Ice,Overspeed,Fatal Injury
Friday,27,Male,Secondary,Lorry,16,30,Clear,Twilight,Dry,Drunk Driving,Slight Injury
Monday,47,Female,Illiterate,Bus,1,30,Cloudy,Daylight,Dry,Overspeed,Serious Injury
Friday,67,Male,Tertiary,Lorry,29,30,Fog,Daylight,Dry,Weather,Slight Injury
Thursday,35,Female,Secondary,Automobile,7,30,Cloudy,Night,Ice,Overspeed,Serious Injury
Thursday,34,Male,Tertiary,Automobile,6,40,Rain,Twilight,Wet,Distracted,Slight Injury
Thursday,43,Female,Illiterate,Automobile,14,40,Cloudy,Night,Wet,Fatigue,Slight Injury
Friday,25,Male,Tertiary,Lorry,25,50,Fog,Daylight,Ice,Distracted,Slight Injury
Sunday,64,Male,Illiterate,Automobile,24,30,Clear,Daylight,Wet,Weather,Slight Injury
Thursday,57,Male,Primary,Bus,4,50,Cloudy,Twilight,Wet,Weather,Slight Injury
Saturday,66,Male,Tertiary,Lorry,1,60,Cloudy,Night,Ice,Overspeed,Serious Injury
Friday,29,Male,Tertiary,Taxi,6,50,Fog,Night,Dry,Mechanical Failure,Slight Injury
Thursday,44,Male,Primary,Lorry,7,70,Clear,Twilight,Ice,Drunk Driving,Serious Injury
Saturday,25,Male,Tertiary,Bus,27,40,Clear,Twilight,Dry,Fatigue,Slight Injury
Sunday,42,Female,Primary,Taxi,6,40,Rain,Night,Dry,Drunk Driving,Serious Injury
Wednesday,63,Female,Secondary,Lorry,29,30,Rain,Daylight,Wet,Mechanical Failure,Slight Injury
Sunday,21,Female,Illiterate,Automobile,6,30,Fog,Daylight,Wet,Weather,Serious Injury
Thursday,50,Female,Primary,Motorcycle,27,60,Clear,Twilight,Dry,Fatigue,Slight Injury
Friday,18,Female,Tertiary,Motorcycle,13,80,Clear,Night,Dry,Distracted,Serious Injury
Tuesday,36,Male,Primary,Automobile,20,60,Rain,Night,Wet,Weather,Slight Injury
Thursday,48,Male,Tertiary,Motorcycle,17,70,Rain,Night,Snow,Weather,Serious Injury
Tuesday,33,Male,Secondary,Motorcycle,5,30,Fog,Daylight,Dry,Overspeed,Serious Injury
Saturday,31,Male,Primary,Automobile,3,30,Clear,Daylight,Dry,Mechanical Failure,Slight Injury
Wednesday,65,Male,Secondary,Automobile,9,60,Cloudy,Night,Dry,Overspeed,Slight Injury
Monday,22,Female,Illiterate,Lorry,17,60,Rain,Night,Wet,Overspeed,Serious Injury
Sunday,58,Female,Tertiary,Lorry,11,60,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Wednesday,43,Female,Tertiary,Automobile,15,40,Clear,Twilight,Dry,Weather,Slight Injury
Thursday,45,Female,Secondary,Bus,24,50,Clear,Night,Dry,Mechanical Failure,Slight Injury
Tuesday,19,Male,Illiterate,Motorcycle,6,50,Rain,Night,Dry,Overspeed,Serious Injury
Sunday,67,Male,Primary,Lorry,5,30,Fog,Daylight,Ice,Distracted,Slight Injury
Tuesday,23,Male,Primary,Motorcycle,27,40,Cloudy,Night,Ice,Fatigue,Slight Injury
Friday,26,Female,Tertiary,Taxi,4,60,Rain,Twilight,Dry,Mechanical Failure,Slight Injury
Tuesday,50,Male,Secondary,Automobile,2,30,Fog,Daylight,Dry,Drunk Driving,Serious Injury
Friday,58,Female,Secondary,Bus,11,40,Clear,Twilight,Snow,Mechanical Failure,Slight Injury
Saturday,42,Male,Primary,Taxi,14,70,Cloudy,Twilight,Ice,Weather,Serious Injury
Sunday,65,Male,Illiterate,Taxi,9,80,Fog,Daylight,Snow,Drunk Driving,Fatal Injury
Sunday,30,Female,Illiterate,Taxi,25,40,Cloudy,Twilight,Dry,Fatigue,Slight Injury
Monday,26,Male,Primary,Automobile,19,100,Fog,Night,Dry,Distracted,Serious Injury
Thursday,30,Male,Primary,Lorry,18,30,Fog,Twilight,Dry,Overspeed,Serious Injury
Friday,48,Female,Secondary,Automobile,15,50,Fog,Daylight,Dry,Mechanical Failure,Slight Injury
